Date,Post ID,Network,Post Type,Content Type,Profile,Link,Post,Linked Content,Impressions,Engagements,Engagement Rate (per Impression),Organic Impressions,Potential Reach,Reactions,Likes,Comments,Shares,Post Link Clicks,Other Post Clicks,Post Clicks (All),Other Engagements,Video Views
4/7/2022 11:49 AM,1512004589633036288,Twitter,Tweet,Video,@explore_ai_acad,https://twitter.com/exp_datascience/status/1512004589633036288,"Seaborn is next in line. Here is another quick demo on bar chart visualisation.

#ExploreDataScience #Python #PythonVisualisation #Programming #Datavisualisation #DataSkills #DataScience #Seaborn #Elearning #TechSkills https://t.co/SJ2SMfcwG2",https://twitter.com/exp_datascience/status/1512004589633036288/video/1,291,24,8.25%,291,"1,879",5,5,0,2,,17,17,0,47
4/8/2022 10:11 AM,1512342432633049089,Twitter,Tweet,Video,@explore_ai_acad,https://twitter.com/exp_datascience/status/1512342432633049089,"Plotly stands out from other Python visualisation packages.  Visualisations are interactive and can be saved as HTML files.

Why don't you find a dataset and create some visualisations using Plotly?

#ExploreDataScience #Visualisations #Python #Plotly #Elearning #DataScience https://t.co/h9fxEG5VFQ",https://twitter.com/exp_datascience/status/1512342432633049089/video/1,176,8,4.55%,176,"3,209",2,2,0,1,,5,5,0,48
4/12/2022 2:48 PM,1513861646623645705,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1513861646623645705,"Over the past few years, various banks have partnered with EXPLORE in training data scientists and data engineers.  

Nedbank 
FNB South Africa
Investec
African Bank
Absa Group
Standard Bank Group

#ExploreDataScience #DataScience #DataEngineering #DataVisualisation #UpSkilling https://t.co/ToTiWDn9Oo",https://twitter.com/exp_datascience/status/1513861646623645705/photo/1,478,46,9.62%,478,"1,693",8,8,1,1,1,35,36,0,
4/14/2022 3:46 PM,1514601055597735937,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1514601055597735937,"Admissions are open for our career- and life-changing courses. 

Data Engineering Accelerator:  https://t.co/OQvtaXk7Q1

Data Science  Accelerator:  https://t.co/a39zQGDek9

Data Science Scholarship:  https://t.co/kFp6dto75X

#ExploreDataScience #DataScience #DataEngineering https://t.co/PHmq6YRPa9","https://explore-datascience.net/course/info/57/3/oncampus, https://explore-datascience.net/course/info/56/3/oncampus, https://explore-datascience.net/course/info/1/3/oncampus, https://twitter.com/exp_datascience/status/1514601055597735937/photo/1",370,84,22.70%,370,"1,827",8,8,0,3,62,11,73,0,
4/20/2022 2:58 PM,1516763152649793539,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1516763152649793539,"SQL is an essential skill among data professionals. Over the next few weeks, each of our SQL posts will teach you more about this popular programming language. 

#ExploreDataScience #DataAnalyst #DataScientist #DataEngineer #SQL #ProgrammingLanguage #Elearning #TechSkills #4IR https://t.co/AZ11I99D2A",https://twitter.com/exp_datascience/status/1516763152649793539/photo/1,187,11,5.88%,187,"1,295",0,0,0,0,,11,11,0,
4/21/2022 11:46 AM,1517077295600742400,Twitter,Tweet,Video,@explore_ai_acad,https://twitter.com/exp_datascience/status/1517077295600742400,"Want to learn how to write a basic SQL query? 
Watch this short demo, and then practice your new skills by doing a few exercises on @hackerrank. 

https://t.co/DZhvmhES3K

#ExploreDataScience #DataScience #DataEngineer #DataAnalyst #SQL #Elearning #TechSkills #4IR https://t.co/CpxH67TwNc","https://www.hackerrank.com/domains/sql/select/difficulty/all/page/1, https://twitter.com/exp_datascience/status/1517077295600742400/video/1",243,26,10.70%,243,"1,694",4,4,0,1,4,17,21,0,69
4/22/2022 10:15 AM,1517416828519211008,Twitter,Tweet,Text,@explore_ai_acad,https://twitter.com/exp_datascience/status/1517416828519211008,"Which career in data excites you?
Vote or comment to let us know.

#DataCareers #DataAnalyst #DataScientist #DataEngineer",,453,83,18.32%,453,"4,423",6,6,1,3,,24,24,49,
4/25/2022 1:52 PM,1518558579355230208,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1518558579355230208,"SQL commands are mainly grouped into four categories. Become familiar with these groups and the relevant commands. 

#ExploreDataScience #DateAnalytics #DataScience #DataEngineering #SQL #UpSkill #Elearning #4IR https://t.co/hj6J4qUpPl",https://twitter.com/exp_datascience/status/1518558579355230208/photo/1,264,30,11.36%,264,"1,297",6,6,0,0,,24,24,0,
4/26/2022 12:01 PM,1518893123094691840,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1518893123094691840,"With SQL aggregate functions, you can do the same calculations as in excel.  Have a look at this example to see how it works. 

#ExploreDataScience #DataScience #DataEngineering #DataAnalytics #SQL #Elearning #UpSkill #4IR https://t.co/bEqlZN1yJE",https://twitter.com/exp_datascience/status/1518893123094691840/photo/1,46,5,10.87%,46,"1,298",1,1,0,0,,4,4,0,
4/26/2022 1:09 PM,1518910010469793793,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1518910010469793793,"With SQL aggregate functions, you can do the same calculations as in Excel.  Have a look at this example to see how it works. 

#ExploreDataScience #DataScience #DataEngineering #DataAnalytics #SQL #Elearning #UpSkill #4IR https://t.co/G56jMPLqMq",https://twitter.com/exp_datascience/status/1518910010469793793/photo/1,333,23,6.91%,333,"2,171",6,6,1,2,,14,14,0,
